Sue Hatfield for CT Attorney General,128000,327989
Ned Lamont,102000,498979
Monica Tujak Brill for Connecticut State Senate,51000,104998
Bob Stefanowski,21000,105996
Matthew Corey for U.S. Senate,20000,99998
Elizabeth Esty,18998,79985
Marc D'Amelio for State Senate,11000,55997
Phil Young for State Representative,11000,54998
Senator Kevin Witkos,10000,49999
Michael McLachlan for State Senate,10000,49999
Julie Kushner for State Senate,10000,49999
Jill Barry for Connecticut-31st,10000,49999
Glastonbury Democratic Town Committee,10000,49999
Connecticut Fund for the Environment,10000,49999
Northeast Charter Schools Network,5000,9999
Solar Energy Today,4000,23992
"Martha Marx For CT State Senate, District 20",4000,22993
Beth Bye 2018,3000,28983
Christine Cohen for State Senate,3000,20991
Make Comedy Great Again,2001,10003
"Hugh McKenney - Candidate For State Representative, East Lyme & Salem",2000,10997
Will Haskell for CT,2000,9998
Tony Gennaro for State Representative 100th District,1000,5998
Theresa Ranciato-Viele for State Representative,1000,5998
Thad Gray,1000,4999
"Ross Tartell for CT State Representative, 125th District",1000,4999
Politica CT,1000,4999
Mike for 72nd,1000,4999
Melissa Osborne for Senate,1000,4999
Laura Devlin for State Representative,1000,4999
Fairfield Democrats,1000,4999
Enfield Republican Town Committee,1000,4999
Dan Fontaine,1000,4999
Dan Champagne for State Senate,1000,4999
CTLCV - Connecticut League of Conservation Voters,1000,4999
Alex Bergstein for CT State Senate,1000,4999
Steve Stafstrom for State Rep,999,4996
Connie For State Representative,999,4992
SECoast,996,4977
Scott Frantz for State Senate,790,3950
Concealed Online,596,1641
Jay Gonzalez,489,2439
etee,435,869
Corazon Coqui,383,766
Donald J. Trump,338,6951
Bill Nelson,327,1415
Teamsters Joint Council 10,261,1307
Stand with Susan Collins,158,789
ACLU,130,650
Steve Phillips,104,519
Parks Project,101,504
Democratic Senatorial Campaign Committee (DSCC),99,329
End Citizens United,87,200
Pela Case,77,155
Nine Line Apparel,76,169
Population Connection,69,139
Speak Up For Education and Kids,59,293
MJ for Texas,56,112
Anna Caballero for Senate,51,254
Independent Voter,50,100
National Republican Congressional Committee,48,1142
PathWater,47,234
Heifer International,46,1730
Beto O'Rourke,45,229
Flip It Blue,44,88
Sand Cloud,43,215
Allison Gilman For Judge,40,201
Greenpeace USA,38,294
Karen Hagstrom for Dutchess County Family Court Judge,32,158
Exclusive Apparel,30,224
David Chiu,28,140
Heidi Heitkamp,28,139
Indivisible Guide,27,145
Planned Parenthood,26,83
DD Adams for Congress,25,83
Kyrsten Sinema,24,1160
Kirsten Gillibrand,22,112
Patricia Morgan,21,105
Progress NC Votes,20,102
Melinda Avey,20,40
Jena Griswold for Colorado,17,90
PrintedKicks,16,97
Jim McGovern,16,72
American AF,15,77
Equality Florida Action PAC,15,30
Planned Parenthood Action,14,68
Military Officers Association of America (MOAA),13,65
Joe Radinovich,13,65
Future Now USA,13,64
Cheddar,13,63
Science for Humans and Freedom Institute,12,107
VoteTogether,11,56
The Collective PAC,11,54
CARE,11,53
Anne Stava-Murray for State Rep,10,52
Democratic Legislative Campaign Committee - DLCC,10,51
Online University of the Left,10,50
The Nib,10,48
Pfizer,8,61
NC House Republicans,8,40
Mannion for State Senate,8,40
Truth in Annapolis,8,39
Mike Kelly for Congress,8,39
"Mike Doyle for PA Representative, 170th District",7,36
Giving Brush,5,44
Citizens for Secure Borders,5,10
Shield Republic,4,26
CRTV Tonight with Gavin McInnes,4,19
Dave Yost,4,12
Derrick Crowe,3,15
Safer Second,3,14
Musa-Obregon & Associates NYC Criminal & Immigration Lawyers,3,6
Buffy Wicks,2,13
Joel Abelove for District Attorney,2,11
DuPage Policy Journal,2,10
Todd Litton for Congress,2,9
Alliance for a Better Minnesota,1,171
Democrats,1,18
Support The Court TX,1,5
South Texas Advocacy Group,1,5
Mary Jane Caylor for City Council,1,5
Jill Norgaard for AZ House,1,5
Downtown for Democracy,1,4
John Catsimatidis,1,3
CBIA,0,99900
Democratic Party,0,24084
Chris Murphy,0,15984
United Way of Greater New Haven,0,14200
Santos For Congress,0,2997
Askov Finlayson,0,2316
Green for State Representative,0,1998
CT en Vivo,0,1998
CT Roundtable on Climate and Jobs,0,1998
Bill Simanski,0,1998
Colchester CT Democratic Town Committee,0,1991
Re-elect Carol Hall,0,1989
Ocean Conservancy,0,1149
Maurahealey.exposed,0,1007
Steve Mikutel,0,999
Rep. Mitch Bolinsky,0,999
Peoples for Probate,0,999
My Child. My Choice.,0,999
Mitch for Newtown,0,999
Larry Groh Jr for 51st District State Representative,0,999
Democratic Coalition Against Trump,0,999
Connecticut Fair Housing Center,0,999
Alderman Steve Giacomi,0,999
MoveOn,0,633
Environmental Defense Fund,0,567
Swing Left,0,547
Tactical Pro Supply,0,500
Ivory Ella,0,500
Chris Pappas for Congress,0,333
Rosa DeLauro,0,290
National Domestic Workers Alliance,0,266
E. O. Wilson Biodiversity Foundation,0,263
Progress News Network,0,250
Tom Steyer,0,204
Mercy For Animals,0,167
EMILY's List,0,141
Politicon,0,98
Roger CPA Review,0,97
Energy Citizens,0,77
City Council President Orlando Ramos,0,70
Pi Yoga Pants,0,59
Nancy Soderberg for FL Congress District 6,0,48
PETA (People for the Ethical Treatment of Animals),0,45
Joe Kennedy III,0,38
Great Public Schools for US,0,34
Coverage of the Trump Presidency by The Epoch Times,0,31
Conservation International,0,31
Andy Kim for Congress,0,31
Making Every Vote Count,0,28
Be A Hero,0,27
Oxfam,0,24
NRDC Action Fund,0,24
Shireen for Congress,0,22
Ryan Hampton,0,22
Working Families Party,0,18
Phil Bredesen,0,18
Kialo,0,18
Everytown for Gun Safety,0,18
Tammy Baldwin,0,17
Brady PAC,0,17
Pocket Your Dollars,0,15
Proud Right Winger,0,13
Jordan Chariton,0,12
Resist Trump's agenda,0,11
Diane Mitsch Bush for Colorado CD3,0,11
45th President Donald J. Trump,0,11
Vote Bobby O,0,9
Definition.org,0,9
The Rutherford Institute,0,8
Gavin Newsom,0,8
DiversityInc,0,8
Time To Vote On Climate,0,7
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,0,6
