Yes On 793,804978,2075807
Marsy's Law for Oklahoma SQ 794,113000,234994
Concealed Online,36363,152330
Oklahoma Council of Public Affairs,30000,150996
Oklahoma Oil and Gas Association,25000,109997
Oklahoma Health Action,21000,104997
OKTreasure.com,20000,99998
Kevin Stitt for Governor,17000,69996
Jason Nichols for Congress,15000,59998
Dennis Dugger for State House,15000,59998
Opportunity Scholarship Fund,10000,49999
Eric Garcetti,10000,49999
AARP Oklahoma,10000,49999
"Dems for Governor, an Unlimited PAC",9000,29995
Blake Shipley for Judge,7000,21995
Tim Gilpin for Congress 2018,6000,15997
KWTV - NEWS 9,5000,9999
Elect Rod Wiemer District Judge 2018,5000,9999
Indivisible Guide,3027,17134
Representative Kevin McDugle House District 12,3000,14997
Paul B. Smith For District Attorney,3000,14997
Jim Grego,3000,14997
James Walters for District Judge 2018,3000,14997
Donald J. Trump,2951,25838
ACLU,2469,4938
Vote Brandon Thompson 2018,2000,11996
Ashley Lehnert for House District 61,2000,10997
4ocean,1183,2956
Tannery For District Attorney,1000,13990
Oklahoma Attorneys Mutual Insurance Company,1000,6997
Mike Duffy For Judge,1000,5998
Linda Wade for Oklahoma SD 42,1000,5998
Tracy Priddy for District Judge 2018,1000,4999
Tom Sawyer For Judge,1000,4999
Merleyn Bell for State House District 45,1000,4999
Mayor David Holt,1000,4999
Keep Judge Hladik,1000,4999
Elect Judge Shawn Taylor District Judge 2018,1000,4999
Daniel Regan for Tulsa City Council,1000,4999
Carrie Blumert for County Commissioner,1000,4999
Brett Butner for Associate District Judge,1000,4999
Amanda Jeffers for House District 91,1000,4999
Douglas Pewitt for Associate District Judge - Ottawa County,857,4282
Justice Elizabeth Lang Miers,817,1648
Parks Project,406,812
Tom Steyer,396,2400
Mike Kelly for Congress,382,764
Larry Hogan,368,737
National Republican Congressional Committee,354,1816
Everytown for Gun Safety,345,690
"I Love You, America",247,494
Heidi Heitkamp,213,426
We The People Holsters,187,937
Erase The Hate,178,892
Republicans for the Rule of Law,164,819
Silkies,161,804
Nine Line Apparel,152,762
Goods Unite Us,150,750
Dissent Pins,121,605
2atees1,115,574
VoteTogether,111,443
Joe Kennedy III,107,595
Co-ops Vote,107,533
Bird + Stone,92,460
Progressive Turnout Project,86,430
Get Off My Lawn with Gavin McInnes,65,129
Define American,64,319
Emily Sledge for Washington County Clerk,58,313
CarsonWatch,58,116
Ending Spending Action Fund,52,259
Stand Up America,50,100
Angela Thomas for Mo. State Representatives District 160,48,95
Robin Lundstrum,47,291
Kathy Griffin,44,87
Joe Radinovich,41,204
Strong Women Society,41,82
Texans for Natural Gas,40,79
Color Of Change PAC,36,181
Treasurer Bobby Hill,36,72
Color Of Change,33,165
Allison Gilman For Judge,29,143
Benjamin Dunn for State Senate,29,58
MoveOn,28,402
Trump on Earth,25,127
Partnership for Oregon Communities,24,122
Marla Livengood for Congress,24,118
Family Survival,23,116
Independent Voter,21,106
Denise Garner for Arkansas,21,41
Climate Facts,20,100
Kyrsten Sinema,19,47
Vote Tony Thompson for Bullitt County Judge Executive,17,86
Finance Watchdogs,16,109
Scamazon,16,82
American AF,16,80
Representative Kate D. Campanale,16,79
PrintedKicks,16,78
UnitedVoice.com,15,77
The Western Journal,15,76
Winning For Women,14,69
Julie Oliver,13,66
Conservation International,12,60
Senator Chuck Thomsen,12,59
Kirsten Gillibrand,11,57
Human Rights Campaign,10,48
Say No to impeachment,9,46
Mike Quigley,9,45
NRCC IE,9,38
Heifer International,8,1056
Phil Bredesen,7,35
Newseum,7,34
Jay Inslee,6,32
Dave Stanko for Sheriff,6,32
Jill Norgaard for AZ House,5,30
Sand Cloud,5,27
Energy Nation,4,351
Greenpeace USA,4,51
Linda Devore for House 44,4,21
Protect CA Health Care,4,8
Dave Yost,4,8
Bill Nelson,2,33
Exclusive Apparel,2,17
Ron DiNicola for Congress,2,12
Joseph “Joe” Webb for NC Senate District 6,2,12
Progress News Network,2,11
WORLDZ,2,10
Drew Christensen,2,5
National Domestic Workers Alliance,1,556
Jerry E. Langley,1,7
Russian America TV,1,6
Progress NC Votes,1,4
Matt Blumenthal for State Representative,1,4
Jena Griswold for Colorado,1,3
David Chiu,1,3
Democratic Party,0,19530
MedicareSupplement.com,0,13986
Power In Cooperation,0,4617
Brian Hill For the House 2018 HD47,0,3996
Thomas Salisbury for District Judge,0,2997
Natalie Mai for District Judge,0,2997
Ken Reddick for Tulsa City Council District 7,0,2997
Ryan Pitts for Judge 2018,0,1998
Oraynab Jwayyed for House District 82,0,1998
Meloyde Blancett,0,1998
Kelly Albright for House District 95,0,1998
Fred Dorrell For OK Labor,0,1998
Crutchfield for Judge,0,1998
Askov Finlayson,0,1175
The Foundation for Oklahoma City Public Schools,0,999
"Shay White, LMSW",0,999
Representative Karen Gaddis,0,999
Mary B. Boren for State Senate,0,999
Kevin Whiteside,0,999
John Haste,0,999
Jennifer for Judge,0,999
Jacobi Crowley for Oklahoma,0,999
JJ Burnam for Oklahoma House District 70,0,999
Framed Tweets,0,999
David Thomas for District Attorney,0,999
Brad Boles,0,999
Bonebreak for House District 53,0,999
Coverage of the Trump Presidency by The Epoch Times,0,333
Keith Greene,0,180
Shireen for Congress,0,138
National Network of Abortion Funds,0,122
Shield Republic,0,78
Science for Humans and Freedom Institute,0,66
EMILY's List,0,58
Planned Parenthood Action,0,57
No Kid Hungry,0,53
Jeff Johnson,0,34
CARE,0,33
Roger CPA Review,0,29
Voice Big,0,27
Democrats,0,25
Waters Kraus & Paul,0,24
Politicon,0,24
PETA (People for the Ethical Treatment of Animals),0,24
Resist Trump's agenda,0,23
Mallory Hagan for Congress,0,23
CRTV Tonight with Gavin McInnes,0,22
America with Eric Bolling,0,22
"Paul Van Blarcum, Ulster County Sheriff",0,18
Ocean Conservancy,0,18
Gavin Newsom,0,18
Logan Lynn,0,17
LGBTQ Victory Fund,0,17
The Ben Shapiro Show,0,16
United Way of Greater New Haven,0,14
Pfizer,0,14
Diane Mitsch Bush for Colorado CD3,0,14
Brazos Press,0,14
A Case for Women,0,14
World Animal Protection USA,0,12
We Can Solve This,0,12
Giving Brush,0,12
Future Now USA,0,12
Alliance for a Better Minnesota,0,11
Sudan Relief Fund,0,10
Swing Left,0,9
National Women's Law Center,0,9
Block Bronx Bolshevik,0,9
Terri Legrand for NC House 2018,0,8
NRDC Action Fund,0,8
Micah Ali,0,7
Jon Tester,0,7
Center for American Entrepreneurship,0,7
Patriot Depot,0,6
Buffy Wicks,0,6
Planned Parenthood,0,5
Paul Workman,0,5
Linda Bennett,0,5
Energy Citizens,0,5
Representative Steve Mentzer,0,4
Janet Mills,0,4
FreedomWorks,0,4
Capital Research Center,0,4
Andy Kim for Congress,0,4
Overworked Moms,0,3
John Creuzot for DA,0,3
"Maureen Kursh Reister for Justice of the Peace, Denton County, Pct 2",0,2
Instagram,0,0
