CWI Yes,17000,69996
Swisher for Idaho,16000,66995
Janice McGeachin,15000,29997
Matthew Sutherland,11103,45841
Cindy for Schools,11000,55997
Save Idaho Horse Racing,10000,325475
AARP Idaho,10000,19998
Idaho Freedom Foundation,9970,49849
Idaho DLCC,6000,14998
Greg Anthony Pruett - Public Page,5000,9999
BJ Swanson for Latah County Treasurer,5000,9999
Backcountry Hunters & Anglers,2631,5262
"Healthy Hospital, Healthy Community.",2467,4936
Northwest Abortion Access Fund,2008,10550
Indivisible Guide,2000,12996
Solar Rebate,2000,11996
Idaho Education News,2000,10997
MTC Changes Lives,2000,9998
Lynn Luker for Idaho,2000,9998
Doug Zenner Nez Perce County Commissioner,1000,9994
Re-Elect Dotti For Coroner,1000,6997
Lockwood4Commissioner,1000,5998
Collum for LT Governor,1000,5998
Kelly Yvonne Mitchell for Ada County Clerk,1000,4999
Inside Idaho Politics,1000,4999
Hill For Mayor,534,2672
Progress News Network,463,1157
Donald J. Trump,267,11793
ReBuild USA,214,427
Dissent Pins,212,424
Beto O'Rourke,211,461
Washington Policy Center,191,954
Louder with Crowder,153,601
Turning Point USA,152,591
Concealed Online,88,324
Gregorio Kilili Camacho Sablan,84,168
American AF,81,405
The Devil We Know,78,389
National Republican Congressional Committee,77,411
Swing Left,76,346
United States Constitution,74,147
Democratic Senatorial Campaign Committee (DSCC),71,370
Defenders of Wildlife,67,331
Wolf-PAC,66,329
Heidi Heitkamp,61,305
Kirsten Gillibrand,59,232
American Financial Advisory For A Better Future,54,268
RSCC,54,108
Pew Research Center,49,245
Jay Inslee,38,192
Penzeys Spices,36,178
Truthout,35,70
I Love My Freedom,25,58
Elizabeth Warren,21,42
VoteTogether,20,49
MJ for Texas,20,41
The Wilderness Society,20,40
Conservation Northwest,17,87
Chris Monzel for Hamilton County Commissioner,17,34
Sand Cloud,15,81
Proud Right Winger,14,71
45th President Donald J. Trump,13,62
Ocean Conservancy,12,405
America with Eric Bolling,11,60
Alyse Galvin for Congress,11,22
Human Coalition,10,51
Elect 435,10,48
Bill Nelson,9,95
Eric Bolling,9,47
Exclusive Apparel,9,46
Finance Watchdogs,7,38
Movement Voter Project,7,37
PETA (People for the Ethical Treatment of Animals),7,34
Alliance San Diego Mobilization Fund,7,13
Greenpeace USA,6,41
USA for UNHCR,6,31
Build With Strength,6,30
Time To Vote On Climate,6,29
Scamazon,6,28
Tom Steyer,5,427
We The People Holsters,5,27
T.J. Shope,5,11
Kyrsten Sinema,4,28
Jay Ruderman,4,22
SEIU MN State Council,4,18
Kristen Grimm for State Senate,3,17
Bird + Stone,3,15
Protect CA Health Care,3,8
Support The Court TX,3,6
Lisa Brown,3,6
Tania Nyman for East Baton Rouge Parish School Board,2,12
Savory Institute,2,12
Greg Walden,2,10
Facing History and Ourselves,2,10
Planned Parenthood Action,2,9
Mayor Matt Hall,2,9
Sierra Club,1,6
Lindsay James for Iowa House,1,6
Janet Mills,1,6
Jill Norgaard for AZ House,1,4
Georgia Right to Life,1,3
Eric Eliason for Congress,1,2
MedicareSupplement.com,0,25974
Democratic Party,0,9735
Dan Hanks for Idaho,0,3996
Steve Berch for Idaho,0,1998
Sean Fay for Clerk,0,1998
Jim Bratnober For Idaho,0,1998
Winning For Women,0,1012
Weston For House,0,999
Tactical Pro Supply,0,999
Republicans For Paulette Jordan,0,999
Mercy For Animals,0,999
Elect Cindy Riegel,0,999
District 17 Democrats,0,999
Reclaim Idaho,0,955
Tousley4Idaho2018,0,767
Forest Fire Facts,0,202
MoveOn,0,137
Politicon,0,115
Environmental Defense Fund,0,111
Power In Cooperation,0,41
National Domestic Workers Alliance,0,29
Coverage of the Trump Presidency by The Epoch Times,0,29
National Network of Abortion Funds,0,26
Roscoe for Wyoming,0,21
We Can Solve This,0,20
Jon Tester,0,20
Framed Tweets,0,18
Energy Citizens,0,17
PrintedKicks,0,16
Science for Humans and Freedom Institute,0,15
Population Connection,0,15
Parks Project,0,15
Notorious Rbg - Protect Women Power,0,15
Joe Kennedy III,0,15
Vote Tony Thompson for Bullitt County Judge Executive,0,14
The Rutherford Institute,0,12
The Pragmatic Libertarian,0,12
Animal Matters,0,12
Kellogg for NC House,0,11
Ed Markey,0,11
Giving Brush,0,10
Giraffe Heroes,0,10
Divided We Stand,0,9
CARE,0,8
Working Families Party,0,7
Armed American Supply,0,7
War On Our Future,0,6
End Citizens United,0,6
Beyond Resistance,0,6
Shireen for Congress,0,5
Gail Young for North Carolina,0,5
Tina Smith,0,4
Stephanie Murphy for Congress,0,4
EMILY's List,0,3
Congressional Leadership Fund,0,3
Askov Finlayson,0,3
Phil Bredesen,0,2
Pfizer,0,2
Nancy Soderberg for FL Congress District 6,0,2
Conservative Gear,0,2
No Kid Hungry,0,1
Cort VanOstran for Congress,0,1
